,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
119,119,179,2010,Chennai,CSK,SRH,1,CSK,0,SRH,234.5125,234.5125,336.62857139999994,336.62857139999994,bat,normal,SRH,31,1,1,1,0,0.1,0.14166666666666666
120,120,180,2010,Ahmedabad,Ahmedabad,RR,1,DD,0,DD,331.6461538000001,331.6461538000001,296.6,296.6,field,normal,DD,0,0,0,0,2,0.15702479338842976,0.15702479338842976
121,121,181,2010,Bangalore,RCB,KXIP,1,RCB,0,KXIP,282.9642857,282.9642857,227.4338542,227.4338542,bat,normal,RCB,0,1,0,1,0,0.13934426229508196,0.11475409836065574
122,122,182,2010,Kolkata,KKR,CSK,1,KKR,0,CSK,336.62857139999994,336.62857139999994,303.1287046,303.1287046,bat,normal,CSK,55,1,1,1,0,0.14634146341463414,0.08943089430894309
123,123,183,2010,Delhi,DD,MI,1,DD,0,DD,331.6517094,331.6517094,296.6,296.6,field,normal,MI,98,0,1,0,0,0.11290322580645161,0.1532258064516129
124,124,184,2010,Bangalore,RCB,RR,1,RCB,0,RCB,331.6461538000001,331.6461538000001,227.4338542,227.4338542,field,normal,RCB,0,0,0,0,0,0.152,0.12
125,125,185,2010,Delhi,DD,DD,1,CSK,0,DD,296.6,296.6,336.62857139999994,336.62857139999994,bat,normal,CSK,0,1,0,1,1,0.15079365079365079,0.15079365079365079
126,126,186,2010,Cuttack,Cuttack,SRH,1,KXIP,0,KXIP,234.5125,234.5125,282.9642857,282.9642857,field,normal,SRH,6,0,1,0,2,0.10236220472440945,0.13385826771653545
127,127,187,2010,Ahmedabad,Ahmedabad,RR,1,KKR,0,RR,331.6461538000001,331.6461538000001,303.1287046,303.1287046,bat,normal,RR,34,1,1,1,2,0.15625,0.0859375
128,128,188,2010,Mumbai,MI,MI,1,RCB,0,MI,331.6517094,331.6517094,227.4338542,227.4338542,bat,normal,RCB,0,1,0,1,1,0.10852713178294573,0.12403100775193798
